2026-06-13 19:21:49.887 | INFO     | __main__:detect_corpus_changes:67 - Analyzing changes for corpus: GST
2026-06-13 19:21:50.347 | INFO     | __main__:detect_corpus_changes:67 - Analyzing changes for corpus: RBI
2026-06-13 19:28:24.382 | INFO     | __main__:detect_corpus_changes:67 - Analyzing changes for corpus: SEBI
2026-06-13 19:28:24.756 | INFO     | __main__:detect_corpus_changes:67 - Analyzing changes for corpus: MCA
2026-06-13 19:28:24.773 | INFO     | __main__:detect_corpus_changes:67 - Analyzing changes for corpus: FEMA
2026-06-13 19:28:24.778 | INFO     | __main__:run_diff_detection:134 - Diff detection routine complete. Created 0 system alert records.
2026-07-16 23:19:22.767 | INFO     | __main__:run_diff_detection:215 - Initializing SentenceTransformer model layer for verification validation tasks...
2026-07-16 23:19:30.555 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for gst. Skipping NLP diff engine tracking.
2026-07-16 23:19:30.557 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for rbi. Skipping NLP diff engine tracking.
2026-07-16 23:19:30.558 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for sebi. Skipping NLP diff engine tracking.
2026-07-16 23:19:30.558 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for mca. Skipping NLP diff engine tracking.
2026-07-16 23:19:30.559 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for fema. Skipping NLP diff engine tracking.
2026-07-16 23:19:30.560 | INFO     | __main__:run_diff_detection:228 - Diff detection routine complete. Generated 0 compliance alert mutations.
2026-07-16 23:21:12.618 | INFO     | __main__:run_diff_detection:215 - Initializing SentenceTransformer model layer for verification validation tasks...
2026-07-16 23:21:20.188 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for gst. Skipping NLP diff engine tracking.
2026-07-16 23:21:20.189 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for rbi. Skipping NLP diff engine tracking.
2026-07-16 23:21:20.190 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for sebi. Skipping NLP diff engine tracking.
2026-07-16 23:21:20.190 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for mca. Skipping NLP diff engine tracking.
2026-07-16 23:21:20.191 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for fema. Skipping NLP diff engine tracking.
2026-07-16 23:21:20.192 | INFO     | __main__:run_diff_detection:228 - Diff detection routine complete. Generated 0 compliance alert mutations.
2026-07-16 23:34:11.817 | INFO     | __main__:run_diff_detection:215 - Initializing SentenceTransformer model layer for verification validation tasks...
2026-07-16 23:34:19.556 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for gst. Skipping NLP diff engine tracking.
2026-07-16 23:34:19.556 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for rbi. Skipping NLP diff engine tracking.
2026-07-16 23:34:19.556 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for sebi. Skipping NLP diff engine tracking.
2026-07-16 23:34:19.556 | INFO     | __main__:detect_corpus_changes:111 - First-time run execution profile setup for mca. Skipping NLP diff engine tracking.
