corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
rbi,61MD0825F724310142CBB351B33F9C3F80FA.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/61MD0825F724310142CBB351B33F9C3F80FA.PDF,2026-06-11T09:04:30.035742,256.9
rbi,29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,2026-06-11T09:04:33.427845,669.4
rbi,400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,2026-06-11T09:04:36.376155,529.4
rbi,399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,2026-06-11T09:04:38.937926,273.6
rbi,380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,2026-06-11T09:04:41.476849,293.5
rbi,61MD0825F724310142CBB351B33F9C3F80FA.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/61MD0825F724310142CBB351B33F9C3F80FA.PDF,2026-06-11T09:07:47.103260,256.9
rbi,29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/29MD8B47C911ECA14450AACBAEF6D7981EF8.PDF,2026-06-11T09:07:47.104656,669.4
rbi,400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,2026-06-11T09:07:47.104656,529.4
rbi,399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,2026-06-11T09:07:47.104656,273.6
rbi,380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,2026-06-11T09:07:47.104656,293.5
rbi,381MD140120267212A1D4EF8349448E9416EF8F2D19B5.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/381MD140120267212A1D4EF8349448E9416EF8F2D19B5.PDF,2026-06-11T09:07:50.002433,284.5
rbi,NOT3821EAEF90E037B4061A91775A5525510C3.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT3821EAEF90E037B4061A91775A5525510C3.PDF,2026-06-11T09:07:52.448772,286.0
rbi,383MD14012026559E41DD96224880B75EDB2B96E4BD8B.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/383MD14012026559E41DD96224880B75EDB2B96E4BD8B.PDF,2026-06-11T09:07:54.900204,294.9
rbi,384MD14012026E275757688DE4E68AF9813B3B9491E4B.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/384MD14012026E275757688DE4E68AF9813B3B9491E4B.PDF,2026-06-11T09:07:57.347188,285.9
rbi,NOT38578CF3B232A694DBEAB2A9CE71848DCA1.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT38578CF3B232A694DBEAB2A9CE71848DCA1.PDF,2026-06-11T09:07:59.765242,313.3
rbi,108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,2026-06-11T09:08:02.485638,378.5
rbi,397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF,2026-06-11T09:08:05.349290,871.4
rbi,MD39857992A3DBE7946619F0F76DF81E472CF.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD39857992A3DBE7946619F0F76DF81E472CF.PDF,2026-06-11T09:08:08.236369,871.9
rbi,387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF,2026-06-11T09:08:10.862588,442.6
rbi,174MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/174MD.PDF,2026-06-11T09:08:15.113178,1424.7
rbi,173MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/173MD.PDF,2026-06-11T09:08:18.089656,882.9
rbi,172MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/172MD.PDF,2026-06-11T09:08:20.476571,280.0
rbi,171MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/171MD.PDF,2026-06-11T09:08:23.047388,410.9
rbi,170MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/170MD.PDF,2026-06-11T09:08:26.149202,1059.5
rbi,169MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/169MD.PDF,2026-06-11T09:08:29.004693,683.5
rbi,167MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/167MD.PDF,2026-06-11T09:08:32.725654,1150.8
rbi,166MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/166MD.PDF,2026-06-11T09:08:35.358930,470.7
rbi,165MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/165MD.PDF,2026-06-11T09:08:38.023944,505.4
rbi,164MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/164MD.PDF,2026-06-11T09:08:40.658193,480.7
rbi,163MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/163MD.PDF,2026-06-11T09:08:44.507405,1817.9
rbi,162MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/162MD.PDF,2026-06-11T09:08:47.418774,828.9
rbi,161MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/161MD.PDF,2026-06-11T09:08:49.956591,318.9
rbi,160MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/160MD.PDF,2026-06-11T09:08:52.656797,461.2
rbi,159MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/159MD.PDF,2026-06-11T09:08:55.568217,507.3
rbi,158MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/158MD.PDF,2026-06-11T09:08:58.832876,748.6
rbi,157MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/157MD.PDF,2026-06-11T09:09:01.520369,519.1
rbi,156MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/156MD.PDF,2026-06-11T09:09:04.650284,853.6
rbi,155MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/155MD.PDF,2026-06-11T09:09:07.257683,433.2
rbi,154MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/154MD.PDF,2026-06-11T09:09:10.572750,1036.5
rbi,153MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/153MD.PDF,2026-06-11T09:09:13.239024,364.2
rbi,152MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/152MD.PDF,2026-06-11T09:09:15.567344,243.9
rbi,151MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/151MD.PDF,2026-06-11T09:09:21.114523,2544.5
rbi,150MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/150MD.PDF,2026-06-11T09:09:23.773586,543.8
rbi,149MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/149MD.PDF,2026-06-11T09:09:26.725801,652.0
rbi,148MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/148MD.PDF,2026-06-11T09:09:29.297330,384.8
rbi,380MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD.PDF,2026-06-11T09:09:31.624010,245.2
rbi,147MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/147MD.PDF,2026-06-11T09:09:34.321640,612.8
rbi,146MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/146MD.PDF,2026-06-11T09:09:36.800226,305.7
rbi,145MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/145MD.PDF,2026-06-11T09:09:39.281017,377.4
rbi,144MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/144MD.PDF,2026-06-11T09:09:41.791038,301.1
rbi,143MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/143MD.PDF,2026-06-11T09:09:44.609635,558.8
rbi,391MD10032026DEA2C866625C478D9F4CC695FCA60B68.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/391MD10032026DEA2C866625C478D9F4CC695FCA60B68.PDF,2026-06-11T09:09:47.120696,410.8
rbi,204MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/204MD.PDF,2026-06-11T09:09:50.596574,1385.2
rbi,203MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/203MD.PDF,2026-06-11T09:09:52.981257,276.8
rbi,202MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/202MD.PDF,2026-06-11T09:09:58.981529,413.5
rbi,201MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/201MD.PDF,2026-06-11T09:10:02.262683,1113.7
rbi,200MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/200MD.PDF,2026-06-11T09:10:05.256396,684.8
rbi,198MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/198MD.PDF,2026-06-11T09:10:08.854689,1585.0
