corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
sebi,0001_Extension_of_timelines_for_compliance_with_certain_provisions_of_Circu.pdf,unknown,2026-06-11,"Extension of timelines for compliance with certain provisions of Circular dated  January 02, 2026",https://www.sebi.gov.in/web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/jun-2026/1781182579546.pdf,2026-06-11T23:28:15.719799,21.2
sebi,Advit_20Jewels_20Limited_20-_20APR_p.pdf,unknown,2026-06-11,Advit Jewels Limited - Abridged Prospectus,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Advit%20Jewels%20Limited%20-%20APR_p.pdf,2026-06-11T23:35:08.794823,584.5
sebi,Advit_20Jewels_20Limited_20-_20APR_p.pdf,unknown,2026-06-11,Advit Jewels Limited - Abridged Prospectus,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Advit%20Jewels%20Limited%20-%20APR_p.pdf,2026-06-11T23:37:09.916561,584.5
sebi,CU149-AMFI_20BP_20cir_20110_20dt._2031-Jan-24.pdf,unknown,2026-06-11,Updated Guidelines on Transmission of Units,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-AMFI%20BP%20cir%20110%20dt.%2031-Jan-24.pdf,2026-06-11T23:46:22.377685,507.8
sebi,CU149-Ch1Attachment_201_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-SEBILetter.pdf,unknown,2026-06-11,Attachment 1 to AMFI BP cir 110 dt. 31-Jan-24-SEBILetter.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch1Attachment%201%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-SEBILetter.pdf,2026-06-11T23:46:24.859396,96.5
sebi,CU149-Ch2Attachment_202_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T1.pdf,unknown,2026-06-11,Attachment 2 to AMFI BP cir 110 dt. 31-Jan-24-Form T1.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch2Attachment%202%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T1.pdf,2026-06-11T23:46:27.644703,209.7
sebi,CU149-Ch3Attachment_203_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T2.pdf,unknown,2026-06-11,Attachment 3 to AMFI BP cir 110 dt. 31-Jan-24-Form T2.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch3Attachment%203%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T2.pdf,2026-06-11T23:46:30.787741,300.3
sebi,CU149-Ch4Attachment_204_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T3.pdf,unknown,2026-06-11,Attachment 4 to AMFI BP cir 110 dt. 31-Jan-24-Form T3.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch4Attachment%204%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T3.pdf,2026-06-11T23:46:32.760463,374.2
sebi,CU149-Ch5Attachment_205_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T4.pdf,unknown,2026-06-11,Attachment 5 to AMFI BP cir 110 dt. 31-Jan-24-Form T4.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch5Attachment%205%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T4.pdf,2026-06-11T23:46:35.010936,268.6
sebi,CU149-Ch6Attachment_206_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Form_20T5.pdf,unknown,2026-06-11,Attachment 6 to AMFI BP cir 110 dt. 31-Jan-24-Form T5.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch6Attachment%206%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Form%20T5.pdf,2026-06-11T23:46:37.352944,343.8
sebi,CU149-Ch7Attachment_207_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-I_20a.pdf,unknown,2026-06-11,Attachment 7 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-I a.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch7Attachment%207%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-I%20a.pdf,2026-06-11T23:46:40.039332,239.2
sebi,CU149-Ch8Attachment_208_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-I_20b.pdf,unknown,2026-06-11,Attachment 8 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-I b.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch8Attachment%208%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-I%20b.pdf,2026-06-11T23:46:42.080529,172.7
sebi,CU149-Ch9Attachment_209_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-II.pdf,unknown,2026-06-11,Attachment 9 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-II.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch9Attachment%209%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-II.pdf,2026-06-11T23:46:45.151300,175.3
sebi,CU149-Ch10Attachment_2010_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-III.pdf,unknown,2026-06-11,Attachment 10 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-III.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch10Attachment%2010%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-III.pdf,2026-06-11T23:46:47.040366,229.7
sebi,CU149-Ch11Attachment_2011_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-IV.pdf,unknown,2026-06-11,Attachment 11 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-IV.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch11Attachment%2011%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-IV.pdf,2026-06-11T23:46:49.502714,217.8
sebi,CU149-Ch12Attachment_2012_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure-V.pdf,unknown,2026-06-11,Attachment 12 to AMFI BP cir 110 dt. 31-Jan-24-Annexure-V.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch12Attachment%2012%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure-V.pdf,2026-06-11T23:46:52.420085,175.8
sebi,CU149-Ch13Attachment_2013_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-Annexure_20VI.pdf,unknown,2026-06-11,Attachment 13 to AMFI BP cir 110 dt. 31-Jan-24-Annexure VI.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch13Attachment%2013%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-Annexure%20VI.pdf,2026-06-11T23:46:54.596201,132.8
sebi,CU149-Ch14Attachment_2014_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-MF-NominationForm.pdf,minationForm,2026-06-11,Attachment 14 to AMFI BP cir 110 dt. 31-Jan-24-MF-NominationForm.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch14Attachment%2014%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-MF-NominationForm.pdf,2026-06-11T23:46:56.787714,125.9
